"Effective February 1, 2025",,
,,
,Part ID,LIST PRICE
,KSFV10ML1S,"$1,665.00 "
,KSFV10ML3S,"$1,719.00 "
,KSFV10PH1S,"$1,668.00 "
,KSFV10PH3S,"$1,726.00 "
,KSFV10QH1S,"$1,745.00 "
,KSFV10QH3S,"$1,728.00 "
,KSFV10QL1S,"$1,754.00 "
,KSFV10QL3S,"$1,738.00 "
,KSFV10RH1S,"$1,784.00 "
,KSFV10RH3S,"$1,740.00 "
,KSFV10RL1S,"$1,794.00 "
,KSFV10RL3S,"$1,749.00 "
,KSFV10SH1S,"$1,827.00 "
,KSFV10SH3S,"$1,759.00 "
,KSFV10SL1S,"$1,827.00 "
,KSFV10SL3S,"$1,759.00 "
,KSFV10TH1S,"$1,947.00 "
,KSFV10TH3S,"$1,778.00 "
,KSFV10TL1S,"$1,958.00 "
,KSFV10TL3S,"$1,792.00 "
,KSFV10TM1S,"$1,955.00 "
,KSFV10TM3S,"$1,784.00 "
,KSFV10VH1S,"$2,039.00 "
,KSFV10VH3S,"$1,823.00 "
,KSFV12MH1S,"$1,760.00 "
,KSFV12MH3S,"$1,792.00 "
,KSFV12ML1S,"$1,768.00 "
,KSFV12ML3S,"$1,797.00 "
,KSFV12PH1S,"$1,791.00 "
,KSFV12PH3S,"$1,821.00 "
,KSFV12QH1S,"$1,852.00 "
,KSFV12QH3S,"$1,813.00 "
,KSFV12QL1S,"$1,872.00 "
,KSFV12QL3S,"$1,832.00 "
,KSFV12RH1S,"$1,898.00 "
,KSFV12RH3S,"$1,823.00 "
,KSFV12RL1S,"$1,906.00 "
,KSFV12RL3S,"$1,835.00 "
,KSFV12SH1S,"$1,934.00 "
,KSFV12SH3S,"$1,832.00 "
,KSFV12SL1S,"$1,944.00 "
,KSFV12SL3S,"$1,846.00 "
,KSFV12TH1S,"$2,062.00 "
,KSFV12TH3S,"$1,854.00 "
,KSFV12TL1S,"$2,087.00 "
,KSFV12TL3S,"$1,882.00 "
,KSFV12TM1S,"$2,081.00 "
,KSFV12TM3S,"$1,876.00 "
,KSFV12VH1S,"$2,150.00 "
,KSFV12VH3S,"$1,895.00 "
,KSFV12VL1S,"$2,155.00 "
,KSFV12VL3S,"$1,902.00 "
,KSFV15RH1S,"$1,976.00 "
,KSFV15RH3S,"$1,925.00 "
,KSFV15RL1S,"$1,976.00 "
,KSFV15RL3S,"$1,943.00 "
,KSFV15SH1S,"$2,035.00 "
,KSFV15SH3S,"$1,939.00 "
,KSFV15SL1S,"$2,049.00 "
,KSFV15SL3S,"$1,953.00 "
,KSFV15SM1S,"$2,043.00 "
,KSFV15SM3S,"$1,945.00 "
,KSFV15TH1S,"$2,161.00 "
,KSFV15TH3S,"$1,991.00 "
,KSFV15TL1S,"$2,161.00 "
